Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,23.69,24.28,23.11,24.19,1982600,24.19
2014-12-30,23.41,23.76,23.25,23.65,1409500,23.65
2014-12-29,23.79,24.16,23.30,23.60,1581200,23.60
2014-12-26,22.86,23.85,22.86,23.44,1782600,23.44
2014-12-24,22.65,22.98,22.35,22.82,850900,22.82
2014-12-23,22.40,22.96,22.07,22.61,1861100,22.61
2014-12-22,22.04,22.38,21.50,22.37,1777100,22.37
2014-12-19,21.05,21.99,21.00,21.91,4603300,21.91
2014-12-18,22.38,22.60,20.65,21.11,6593000,21.11
2014-12-17,22.04,22.20,20.64,21.62,4776300,21.62
2014-12-16,21.92,23.09,21.60,22.02,2974700,22.02
2014-12-15,23.43,23.79,22.28,22.28,2272500,22.28
2014-12-12,23.16,23.63,22.80,23.01,2324200,23.01
2014-12-11,23.39,24.37,23.22,23.69,2604700,23.69
2014-12-10,24.12,24.60,22.95,23.09,3660900,23.09
2014-12-09,23.00,24.29,22.58,24.15,3063900,24.15
2014-12-08,24.82,25.90,23.89,24.11,4507500,24.11
2014-12-05,23.95,25.28,23.86,24.93,3474100,24.93
2014-12-04,22.97,23.85,22.97,23.81,2498900,23.81
2014-12-03,23.53,23.90,23.19,23.20,2573700,23.20
2014-12-02,22.61,23.48,22.59,23.21,3437000,23.21
2014-12-01,24.00,24.00,21.90,22.22,6876100,22.22
2014-11-28,26.55,26.60,24.03,24.29,4926200,24.29
2014-11-26,26.94,27.65,26.84,27.47,1380800,27.47
2014-11-25,27.93,28.05,27.00,27.22,2188100,27.22
2014-11-24,27.92,28.10,27.43,27.79,1971100,27.79
2014-11-21,27.82,28.53,27.48,27.57,3433800,27.57
2014-11-20,26.38,27.42,26.06,27.38,2516100,27.38
2014-11-19,27.22,27.50,26.46,26.78,3255900,26.78
2014-11-18,26.84,27.77,26.57,27.36,4220200,27.36
2014-11-17,26.50,26.87,25.91,26.37,3094100,26.37
2014-11-14,25.56,27.18,25.24,26.93,5783000,26.93
2014-11-13,27.70,28.04,25.61,25.73,11200700,25.73
2014-11-12,32.64,33.00,27.50,28.08,21186700,28.08
2014-11-11,32.00,32.20,30.60,31.47,6238200,31.47
